Sl.No,State_Name,Institution_Name,Institution_Type
1,Andaman and Nicobar Islands,"DISTRICT INSTITUTE OF EDUCATION and TRAINING, PORT BLAIR (Id: S-12013)",Teacher Training
2,Andaman and Nicobar Islands,"SCHOOL OF NURSING, G B PANT HOSPITAL, ANDAMAN (Id: S-12882)",Nursing
3,Andaman and Nicobar Islands,SCHOOL OF NURSING PORTBLAIR (Id: S-3447),Nursing
4,Andaman and Nicobar Islands,SECOND GOVT. POLYTECHNIC AandN ADMINISTRATION PAHARGAON PORT BLAIR (Id: S-489),Technical/Polytechnic
5,Andhra Pradesh,AANM and VVRSR POLYTCHNIC (Id: S-491),Technical/Polytechnic
6,Andhra Pradesh,"A B M HOSPITAL and SCHOOL OF NURSING, NELLORE (Id: S-13016)",Nursing
7,Andhra Pradesh,"ABR College of Elementary Teacher Education, Chinnairlapadu, Kanigiri (M) Prakasam-523234 (Id: S-13373)",Teacher Training
8,Andhra Pradesh,"ABYUDAYA SCHOOL OF NURSING, LANGER HOUSE, HYDERABAD (Id: S-13241)",Nursing
9,Andhra Pradesh,"Adarsha College of Elementary Teacher Education, Venkateshwara colony, Jadcherla, Mahabubnagar -509101 (Id: S-13422)",Teacher Training
10,Andhra Pradesh,"Adarsha Teacher Training Institute, Old Badver Road, Giddaluru, Prakasam (Id: S-13371)",Teacher Training
11,Andhra Pradesh,"ADDANKI PRABHUDAS AND SUJANAMMA MEMORIAL SCHOOL OF NURSING, OGMOJI CAMPUS, 31-1-35 AM TRUNK ROAD, PRAKASAM (Id: S-13076)",Nursing
12,Andhra Pradesh,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT (Id: S-492),Technical/Polytechnic
13,Andhra Pradesh,ADITYA SCHOOL OF NURSING EAST GODAWARI (Id: S-3449),Nursing
14,Andhra Pradesh,"ADITYA SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13117)",Nursing
15,Andhra Pradesh,"ADITYA SCHOOL OF NURSING, SRI NAGAR, EAST GODAVARI (Id: S-12962)",Nursing
16,Andhra Pradesh,"ADITYA SON, BARKATPURA, HYDERABAD (Id: S-13221)",Nursing
17,Andhra Pradesh,ADMINISTRATIVE STAFF COLLEGE OF INDIA (Id: S-1),PGDM Institutes
18,Andhra Pradesh,AECS APARNA SCHOOL OF NURSING TIRUPATI (Id: S-3451),Nursing
19,Andhra Pradesh,"A E L C SCHOOL OF NURSING, CHERALA, PRAKASAM (Id: S-13071)",Nursing
20,Andhra Pradesh,A E L C SCHOOL OF NURSING PRAKASAM (Id: S-3448),Nursing
21,Andhra Pradesh,"Akkineni Nageswara Rao D.Ed., college P.No.20 Gudivada, Krishna-521301 (Id: S-13355)",Teacher Training
22,Andhra Pradesh,"Akula Gopayya Elementary Teacher Education, Srinivasapuram, Near Rail-cum Road Bridge, Kovvur, West Godavari-534350. (Id: S-13349)",Teacher Training
23,Andhra Pradesh,"Akula Sree Ramulu College of Elementary Teacher Education, By Pass Road, Pidiparu, Tanuku, West Godavari-534211. (Id: S-13351)",Teacher Training
24,Andhra Pradesh,"ALA SAROJINAMMA SCHOOL OF NURSING, PRAGATHI HOSPITAL TRUST, NIZAMABAD (Id: S-13297)",Nursing
25,Andhra Pradesh,AL-HUDA POLYTECHNIC NELLORE (Id: S-494),Technical/Polytechnic
26,Andhra Pradesh,"ALLEN Alfred College of Elementary Teacher Education, Anmagar, Near Abdullapurmettu, Hayatnagar(M), Rangareddy (Christian) (Id: S-13429)",Teacher Training
27,Andhra Pradesh,"Al-Madina College of Elementary Teacher Education (D.Ed.) College, Salemnagar, Mahabubnagar (Id: S-13417)",Teacher Training
28,Andhra Pradesh,"ALURI SCHOOL OF NURSING, NEAR R.T.C. BUS STAND, PRAKASAM (Id: S-13070)",Nursing
29,Andhra Pradesh,ALWAR SCHOOL OF BUSINESS AND COMPUTERS (Id: S-2),PGDM Institutes
30,Andhra Pradesh,AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES (Id: S-496),PGDM Institutes
31,Andhra Pradesh,AMBEDKAR INSTITUTE OF MANGEMENT AND STUDIES (Id: S-3),PGDM Institutes
32,Andhra Pradesh,AMERICAN SCHOOL OF NURSING ANANTHAPUR (Id: S-3454),Nursing
33,Andhra Pradesh,"AMERICAN SCHOOL OF NURSING, ARAVINDA NAGAR, ANANTHAPUR (Id: S-13084)",Nursing
34,Andhra Pradesh,"AMG SATYAVEDAM SCHOOL OF NURSING, CHILAKALURIPET, GUNTUR (Id: S-13059)",Nursing
35,Andhra Pradesh,"AMG SATYAVEDAM SCHOOL OF NURSING, SEETHAMMADHARA, VISAKHAPATNAM (Id: S-12939)",Nursing
36,Andhra Pradesh,AMG TEACHER TRAINING INSTITUTION FOR WOMEN VISAKHAPATNAM (Id: S-5563),Teacher Training
37,Andhra Pradesh,AMRUTHA TEACHER TRAINING INSTITUTE AMRUTHA SOCIAL EDUCATIONAL DEVELOPMENT SOCIETY SINGARAYAKONDA PRAKASAM (Id: S-5565),Teacher Training
38,Andhra Pradesh,"ANDHRA MAHILA SABHA SCHOOL OF NURSING, VIDYANAGAR, HYDERABAD (Id: S-13208)",Nursing
39,Andhra Pradesh,ANDHRA POLYTECHNIC KAKINADA (Id: S-497),Technical/Polytechnic
40,Andhra Pradesh,ANDHRA PRADESH AVIATION ACADEMY HYDERABAD (Id: S-8853),Institutes under Ministries
41,Andhra Pradesh,"Annamacharya College of Elementary Teacher Education, New Boyenpalli Rajampet, Kadapa-516126 (Id: S-13389)",Teacher Training
42,Andhra Pradesh,ANNAMACHARYA INSTITUE OF TECHNOLOGY and SCIENCES (Id: S-498),Technical/Polytechnic
43,Andhra Pradesh,"ANNAPURNA SCHOOL OF NURSING, PALAKOL MANDAL, WEST GODAVARI (Id: S-12992)",Nursing
44,Andhra Pradesh,"APARNA SCHOOL OF NURSING, CHAITANYAPURI STREET, NALGONDA (Id: S-13316)",Nursing
45,Andhra Pradesh,"APARNA SCHOOL OF NURSING, NAKARIKAL, NALGONDA (Id: S-13318)",Nursing
46,Andhra Pradesh,"APARNA SCHOOL OF NURSING, PADMAVATHI NAGAR, CHITTOOR (Id: S-13141)",Nursing
47,Andhra Pradesh,"APEX INSTITUTE OF MEDICAL SCIENCES SCHOOL OF NURSING, CHITTOOR (Id: S-13158)",Nursing
48,Andhra Pradesh,A.P.GOVERNMENT INSTITUTE OF LEATHER TECHNOLOGY (Id: S-488),Technical/Polytechnic
49,Andhra Pradesh,"APOLLO HOSPITAL and SCHOOL OF NURSING, JUBILEE HILLS, HYDERABAD (Id: S-13207)",Nursing
50,Andhra Pradesh,"APPLE SCHOOL OF NURSING, MATWADA, WARANGAL (Id: S-13170)",Nursing
51,Andhra Pradesh,APPLE SCHOOL OF NURSING WARANGAL (Id: S-3457),Nursing
